제목,링크
네이버뉴스,https://n.news.naver.com/mnews/article/003/0013714031?sid=105
"KT, 대만 최대 케이블 방송사 KBRO와 맞손…AI 미디어서비스 공급",https://www.newsis.com/view/NISX20260116_0003479180
KT가 대만 최대 케이블 방송사와 손잡고 자사 인공지능(AI) 미디어 서비스 및 디바이스 기술 등을 대만 시장에 공급하기로 했다. KT는 지난 15일 대만 타이베이 빅토리아 호텔에서 대만 최대 케이블 방송 사업자 KBRO와 AI 기반 디지털 미디어 및 스마트 홈 서비스 공동 개발을 위한 전략적 업무협약(MOU)을...,https://www.newsis.com/view/NISX20260116_0003479180
네이버뉴스,https://n.news.naver.com/mnews/article/001/0015850367?sid=102
"소방청, AI활용 재난대응체계 구축…119시스템 출동시간 단축",https://www.yna.co.kr/view/AKR20260115142800530?input=1195m
AI·디지털 기반 현장지휘체계로 전환…배터리화재 조기 감지시스템 구축 소방청이 기후위기 가속화로 예측이 어려워진 복합재난과 전기차 화재 등 신종 위험에 선제 대응하기 위해 인공지능(AI)과 첨단기술을 활용한 재난 대응 체계 구축에 나선다. 소방청은 16일 '소방 AI·첨단기술 활용 10대 전략과제...,https://www.yna.co.kr/view/AKR20260115142800530?input=1195m
네이버뉴스,https://n.news.naver.com/mnews/article/417/0001124885?sid=105
"초거대 인공지능 'A.X K1' 앞세운 SKT, 국가대표 AI 경쟁 본격화",https://www.moneys.co.kr/article/2026011608564021338
"▲SKT ▲크래프톤 ▲포티투닷(42dot) ▲리벨리온 ▲라이너 ▲셀렉트스타 ▲서울대학교 ▲KAIST 등 8개 기관으로 구성된 정예팀은 최근 KAIST 인공지능대학원 서민준 교수 연구실, 서울대학교 수리과학부 서인석 교수 연구실의 합류로 연구의 폭을 넓혔다. SK하이닉스와 SK이노베이션 등 SK그룹...",https://www.moneys.co.kr/article/2026011608564021338
네이버뉴스,https://m.sports.naver.com/general/article/529/0000075676
네이버뉴스,https://n.news.naver.com/mnews/article/448/0000584047?sid=101
광주형 인공지능(AI) 비즈니스 353~361번째 업무협약,https://www.dailysportshankook.co.kr/news/articleView.html?idxno=422508
"광주시가 인공지능(AI) 전문기업과 협력을 통해 인공지능 기술의 산업 현장 적용을 확대하고, 실증 중심의 인공지능(AI) 산업 생태계 확장에 나선다. 광주광역시(시장 강기정)는 16일 시청 비즈니스룸에서 제조·헬스케어 등 (AI) 전문기업 9개사와 '광주형 비즈니스 업무협약'을 체결했다....",https://www.dailysportshankook.co.kr/news/articleView.html?idxno=422508
인공지능(AI) 캡슐내시경 솔루션 '캡토스' 상용화,https://www.dailymedi.com/news/news_view.php?wr_id=933036
양산부산대병원 소아청소년과 이연주 교수가 임상 현장의 노하우를 접목한 인공지능(AI) 기반 캡슐내시경 판독 보조 솔루션을 개발 및 상용화해 주목된다. 이 교수가 주도해 개발한 솔루션 ‘캡토스(CAPTOS)’는 최근 식품의약품안전처로부터 2등급 의료기기 인증을 획득하고 임상 현장에 도입됐다....,https://www.dailymedi.com/news/news_view.php?wr_id=933036
네이버뉴스,https://n.news.naver.com/mnews/article/001/0015850964?sid=105
"[테크스냅] 데이븐AI·국제인공지능윤리협회, AI 창작자 생태계 조성 MO...",https://www.yna.co.kr/view/AKR20260116069200017?input=1195m
"네이버 'AI 기반 접근성 통한 디지털인권' 주제 널리웨비나 성료 티맵모빌리티, 르노 테크월드 투어서 '티맵 인포테인먼트' 소개 ▲ AI 창작 테크 기업 데이븐AI는 국제인공지능윤리협회(IAAE)와 '창작 분야 AI 및 AI 윤리 협력을 위한 업무협약'을 체결했다고 16일 밝혔다. 이번 협약으로 양측은 AI 창작 생태계...",https://www.yna.co.kr/view/AKR20260116069200017?input=1195m
